pid,sentence1,sentence2,label
48079,"Hey, can you set a reminder for me to call someone?  .","Hey, can you set a reminder for me to walk?  .",0
69377,I didnt receive any cash back,I did not receive mail yet,0
23467,i dont want to book right now,Do not sent reminder,0
40822,i do not need reminder,I need a reminder to drink water,0
33534,How much water should I drink,drink water,0
73775,remove all items,What all items are available?,0
17991,find Flight Tickets,Is there any reminder for flights ticket,0
36410,make a reminder phone,make a reminder,0
22487,Help me with Survival Benefits of My life,Help me with Survival Benefits of saral nivesh,0
5665,like to purchase Flight Tickets,Help me flight booking,0
59039,unable to contact relationship manager,Unable to trade,0
53504,I want to book a cab to home,I want to book a cab,0
37932,Whats the charge for the test,I wanted to know the HCV RNA blood test fee,0
52376,Delete Haptik account,Can I delete Haptik account completely,1
15851,I can get your phone number,Give me your mobile number,1
13434,Calculate my loan EMI,Calculate my loan EMI or Eligibility,1
25799,Customer Care number,Can you send me the customer care number,1
41777,other department to submit my issue,unable to submit grievance,0
7500,Any offer running on ola?,Are there any cashback offers,0
1534,I want to book as armed force category,I want to book a flight,0
38021,modify items in my cart,show me cart items,0
6303,stop the flight alerts,Alert for flight,1
72341,show me flights without any stop,Plz list out flights options,0
9212,More than 15 years,Below 5 years,0
23840,Yes,"Yes, let's talk!",0
64421,Do u have any offer for flight,any discount on lunch?,0
33101,delete all reminders,i would like to see all my reminders,0
56039,What is the composition of your LPG which is supplied to domestic customers,What is the composition of LPG?,0
13619,looking Flight Tickets,looking to Flight Tickets,0
32346,Please book a flight,wana book a flight,0
51402,Can I put Monsoon blinds in terrace?,Monsoon blind terrace,1
57362,prepare a reminder exercise,schedule a reminder jog,1
9679,I want to know the key features of Total Secure,I want the Premium amount for Total Secure,0
54643,recommend me Flight Tickets,i want flights from mumbai to delhi,0
29779,cost of paid wifi,what are payment options for paid wifi,0
4360,I dont want any notifications,Not needed,0
62790,I want to book a flight,Want to book flight from Mumbai to Delhi,0
12904,Can you list services you have,tell me list of services you offer,0
43424,Total Secure,features for Total Secure Plan,0
55889,who is winning,Who are you,0
19252,Need repairman for geyser,Need repairman for sofa,0
4987,You are boy or girl,Kon ho tum boy or a girl,1
49804,schedule a reminder birthday,schedule a reminder jog,0
15530,contract notes report,password for digital contract note,0
38602,how much time will it take?,How much time,1
52377,I want to check the items in my list,Need to check my invoice,0
43908,i dont want to withdraw,Not able to withdraw cash,0
48931,set reminder jog,schedule a reminder,0
14642,Survival Benefit,survival benefit of saral nivesh,0
64356,Any cashback on train tickets?,Any cashback on train booking?,1
26783,Status of flight,Check flight status,1
35173,Extra car parking,I need details of the car park,0
71919,find me carpenter nearby,searching for a carpenter,1
10825,check available resorts,show me all available resorts,0
27276,I am unable to lose weight,I want to lose weight,1
47795,I did not get cashback,didnt get,1
83,That ID is right,I gave the right ID,1
8105,Set a daily reminder for horoscope,I would like to change my Horoscope reminder,0
31064,Unable to login,Unable to book uber,0
18492,Help me with some hotel safety tips,Industry safety tips,0
67881,pay entry fee on contests,Entry fees is refunded,0
28208,"Hey, can you set a reminder for me to jog?  . .",Can you remind me to jog,1
69646,Any other option,Other options??,1
39536,todays ipl match results,Who won yesterday ipl match,0
49167,Send me the complete month chart,Send me the chart for month of feb,0
10997,reports for contract notes,how to i get digital contract note,0
11315,any offer on flight booking,Tutorial for flights cashback,0
1058,Please book a flight,I want to book flight tickets for Diwali,0
59845,This order ID is right,That was the correct order ID,0
50014,recommend me atm,Find ATMs near me,1
7473,coffee day,cafe coffee day,1
7768,What is your job,What is your name,0
21520,I need a reminder for calling someone,view reminders,0
4277,Book a flight,book flight later,0
24879,any flight deals,i want offer on flight booking.,0
56903,no refund my money,Refund my money..,1
8627,i need internet now,I need an internet plan,0
18328,show previous day  GK leaderboard,show previous day  cricket leaderboard,0
40751,I need to know the charges first,Can I know the charge beforehand?,0
66208,want to get my clothes iron,clothes iron,1
51866,But your price is higher,You price are higher than happy easy go site,0
14441,Electricity bill offer,Electric bill,0
13975,open demat account,I do not have a pancard can I open a demat account,0
16523,Whats weather today,What is the weather like?,1
46202,No cashback is yet credited,sir I am cashback not receive,0
43024,Cancelling my ticket was very time intensive,I needed to cancel my ticket and it took a long time,0
52767,my nominee,how to update Nominee?,0
5341,how to pay entry fee for contests,Entry Fees to be considered,0
47266,Any Coupons available on ola booking.,book ola,0
26427,I want discounts on flights,Is there student concession flights,0
50862,Do Customized holidays have a price guarantee (price committed at the time of booking)?,Customized holidays have a price guarantee,1
70700,I need a reminder for meeting,No need of reminder,0
14326,Where is my cash back ?,I had not received cash back,0
60291,I want to book flight tickets for Christmas,I want to book flight tickets Can you help me,0
74685,Did not receive cashback,Did not Receive Refund,0
71312,recharge my phone,Recharges,0
46774,like to purchase Flight Tickets,wana book a flight,0
33932,Send me flight timings from Mumbai to Delhi,flights to Dubai,0
63637,electricity bill pay offers,Amazon Pay cashback,1
34260,I am finding cheaper tickets on other websites,show cheapest,0
60,My first account is blocked,My account is blocked,1
26286,check horoscope for my friend,be my friend,0
43666,i want to review my card,review card,1
70829,view the gk leaderboard,yesterday's GK leaderboard,0
61275,what is your mail ID,what is your name,0
48267,i need your number,give me ur number,1
63041,I want to change my reminder,wake up reminder modify,1
27697,What all are you capable of doing,what all can you do?,1
49861,make me remember drink water,make me remember walk,0
1158,Need invoice of my air tickets,I need some air tickets,0
69969,what is the expiry of cashback,Above offer is valid on Airtel to ?,0
33063,I want ur no.,Give me your no.,1
31001,I want to raise a complaint,Complaint,0
59947,how much is the premium for mylife,May I please know the Premium for mylife,1
5799,I need to book tickets,Want to book my seat i booked my ticket already,0
51302,refund,Did not Receive Refund,0
5275,survival benefit of criticare,Survival Benefit,0
52718,One time password is not working please resend,OTP not get,0
32214,"Hey, what are some deals on food delivery?  .","Hey, what are some deals on food delivery around me?  .",1
8524,what to buy,how to buy fund,0
25055,what document required to update Nominee,I want to update my Nominee detail?,0
6732,cricket answers,check cricket answers,1
43252,I don't know my zodiac sign,Don't know the answers,0
68899,what is the difference between My Life and Total Secure Plus,Total Secure,0
11837,want reminder for walk,to view my reminders,0
6967,please email ticket,Send me the ticket on my mail,1
50080,Cancel all subscriptions,Delete all the messages,0
19842,No One time password received yet,OTP Received,1
50009,I gave a true order ID,I can't find my order ID.,0
12378,I want to learn english,I can learn english,1
49601,train route,show me the route train,1
50087,check the current status of my train,I want to check the PNR status of a train.,0
36712,total secure+,Help me with the Premium for Total Secure,0
11084,I got no sim card,I have a foreign SIM card,0
57994,Do you have features for WAAC,Explain me the key features of WAAC,1
15298,i want to add deposit,is it safe to add a card,0
10525,any offer on mobikwik,any offers currently available on flight booking,0
32612,I want flight status,flight status,1
30688,prepare a reminder exercise,make a reminder exercise,1
61952,I would like to save for a wedding of my own choice,wedding of my own choice,1
4283,Book a flight from Mumbai to Delhi,check price for flight from mumbai to pune,1
39160,Need to buy pass,how to buy,0
35314,Any offer?,I recharged my mobile using phonepe and I cant find any cashback,0
21778,Want to get invoice,I am looking to get my,0
2555,not able to login,not able to browse,0
2711,to buy Flight Tickets,do i need to book an appoinment,0
40709,bank account balance,min account balance,0
11013,I want to check flight bookings,Check flight status,0
35072,"Hey, can you tell me a joke .",don't tell jokes anymore,0
59690,Treatment for canker sores,Contagious Canker sores,0
74204,Can my children use voucher if I am not residing?,use voucher,0
18867,cancel flight fare alert,stop the flight alert,0
57753,I want my tickets emailed,Please mail me tickets,1
24386,survival benefit,Want to know Survival Benefits of my life plan,0
75603,set reminder exercise,schedule a reminder medicine,0
57109,status of address change request,status of change request,0
37996,Got my OTP,not getting otp,1
30008,Any cheap tickets,Later Pl send alerts for cheaper ticket,0
12059,charge convenience fee,How much will be the convenience fee,0
9215,No dentist available and swelling in my mouth,swollen mouth post extraction,0
33508,Are you a boy or a girl?,do you have babies,0
47758,Corporate structure,Your corporate structure,1
53134,any deal,Any offers currently available on train tickets,0
30511,cancel live status status,Live status,0
31639,Edit email,change mail ID,1
24590,CAM unsold units,The Developer should contribute towards the SAM of the unsold units?,0
19878,I would like to cancel my Reminder,I need to cancel my daily reminders,0
2336,how are pass points calculated,scores and points calculation,0
62785,No cashback credited to my Amazon account,Cashback not yet received,0
68255,why do i need a captain,why do i need a PAN card,0
57785,No active mobile,no active sim,0
43903,I found a cheaper fare somewhere else,I find cheap at other sites,0
17433,I got no sim card,did not get pin,0
53425,Cash back when I will get,When will i get cashback,0
43677,Tutorial for trains cashback,Cashback on trains,1
65407,Can you share the Survival benefits?,Assist me with Survival Benefits of my life plan,0
47198,I want to book flight tickets for ID-E-MILAD,I want to book flight tickets for Guru Nank Jayanti,0
31557,please send your photo,I want ur no.,0
30391,recommend me Flight Tickets,show flights on,1
12744,Play & Win Quiz,see prizes for the predict & win quiz,0
3921,Send me your pic,Your pic pls,1
19710,want to purchase Flight Tickets,I want to book bus tickets,0
75528,plumbing,Plumbing services required,0
43885,Key features of Total Secure,Can I please know the Total secure plan,0
19289,I want to book bus tickets for ID-E-MILAD,No bus ticket booking,0
67310,AC outlet design,fix ac unit,0
66043,Flight check in,Please help me on above flight check in,0
23490,I want to see my policy list,I want to see the list of Products,0
13385,What's my ID password to check online report,How to view reports online,0
57086,status of train,check train status,1
34070,What is a procedure to change the company name,help me to change the company name.,1
16038,Good,Not so good,0
25914,show flights on,show  Flight Tickets,1
38814,Stop all my reminders,show all my reminders,0
6479,phonepe cashback not received,no cashback received,0
5202,I want ticket booking,i want ticket from mumbai to pune,0
71360,"Hey there,I want to book a bus ticket.  .",Any bus ticket available,0
37786,unable to login,I want to login,1
68,Big Basket Gift Cards,"Hi, I am interested in Big Basket Gift Cards  .",1
74601,What is a procedure to change the company name,Procedure to order LPG supply,0
24663,Home Loan,Home loan for SRA,0
31178,Tell me another one,Show me another one,1
42017,"Hello, Can you look for the closest gas station?",Nearby Gas station,1
10723,Explain me the key features of My Life,Do you have features of My life,1
13376,i want to book cab,Hey I want to book a cab using cashback offer .,0
71177,what type of reminders can you set,Can you schedule a reminder for jog,0
72125,Where is my wake up alarm,wake up,0
75871,Ride to home,cab to home,1
30749,how to delete the app,I would like to cancel my horoscope,0
36001,change team,i want to change my team,1
23322,Didnt receive OTP,OTP Received,1
22736,May I please know the Premium for Total Secure,Total Secure plus,0
25183,sorry change that reminder,change reminder,1
37645,I would like to cancel my Quiz reminder,stop quiz reminder,1
54877,i want to buy extra wifi,I want to buy a plan,0
16928,Daily jokes,send jokes daily,1
49633,i want discount on flight booking,like to purchase Flight Tickets,0
12147,Is there any cashback,any cashback,1
65732,set reminder drink water,schedule a reminder walk,0
2712,send me ur pic,Send me your mobile number,0
20625,My rank in gk?,Show me my gk ranking,1
70233,What time will duronto Ahmedabad to mumbai  come today,Want to book flight from Mumbai to Delhi,0
34741,bollywood Terms and Conditions,Terms and Conditions,0
57535,make a reminder walk,schedule a reminder walk,1
26907,Help me for free Entry,Free Entry,1
14472,fund transfer,how to transfer fund through NEFT,0
904,i want flights from mumbai to delhi,Send me flight schedule,0
8050,I want receipt for this bill payment!!,Bill payment,0
39489,Can you please remove the price escalation clause from the agreement?,Remove price escalation clause,1
54376,my password is not working,its not working,0
22875,My order ID isn't here,Where is my order ID?,0
50292,I did not get cashback,I dont got my cash back still,0
13359,bank offer cashback not received,use cashback on offers,0
1105,I want to book flight tickets for Diwali,recommend Flight Tickets,0
5896,care after root canal procedure,root canal process,0
67072,This is real or fraud?,Fraud,0
60650,Cash back not received Amazon pay,cash back not received,1
53531,Send me Uber Cab options,suggest me uber,0
380,Find the closest lab near me,Find nearby center,1
38417,i need my invoices,I need invoice for my test,1
15768,send me ur pic,Send your Number...,0
27791,schedule a reminder ,set a reminder,0
49099,lets start,lets start quiz,1
9096,need flights from mumbai to pune,Flight from delhi to srinagar,1
35939,air tickets are included in customised holidays.,receive air tickets,0
4114,want reminder for birthday,show reminders,0
26809,Help me with Survival benefits,survival benefit of WAAC,0
68782,How can I update nominee for NSDL account ?,Update Nominee details for CDSL Demat,0
30810,i would like to book a Painting service,Book Service: Painting,1
281,I need to fast for this test,Should I fast for this test?,1
23237,33 kg,price of 4 kg,0
8610,Visa need for Dubai,please give Armed Forces Concession,0
5995,I want to check report,check my report status,1
27130,Show timings for MTV,My show is not showing at its time?,0
43930,i want offer on flight booking.,Do u have any offer for flight,0
47361,Is this the final price I have to pay No offers available,what are discounts available on flight booking,0
5394,I gave the correct order ID,Please help me find my order ID,0
47810,find Flight Tickets,need flights from mumbai to pune,0
72144,How to find the lab id,where can i find lab id?,1
38871,Share the list of documents for LOI,List of Documents for LOI,1
10666,Chimney Deep Cleaning,kitchen bathrooms deep cleaning,0
56274,battery not working,tap is not working,0
12042,I am using the same otp on other device,Got other SMS,0
73069,book flight for 2 adults,Please book a flight,0
56334,delhi to kolkata,And back to kochi on night 03 dec,0
39281,When will i get cashback,Why no cashback got,0
32958,"Hey there, Can you help with booking flight tickets? .","Hi, I want to book a flight ticket using the cashback offer .",0
63009,Unable to contact RM,unable to login,0
20236,like to buy Flight Tickets,looking to Flight Tickets,0
46410,Looking for nearest petrol pump,petrol pump,1
44829,I want to set reminder for price drop,Remind me any price drop,0
36294,Tell me the key features of My Life,I want to know key features of My life,1
40756,Need to book a train,To book a train ticket,1
4320,bus tickets,book bus ticket,1
70473,Share the details of term plan,Can you please tell me about Term Plans?,0
59266,what services do you have for cars?,What services you provide?,0
38326,How to create citizen account?,Create Citizen Account,1
10599,How to spend cahsback,How to make payment,0
37677,south bihar power distribution company,South bihar power,1
11522,Motivational Quote,I would like to cancel my daily motivational quote subscription,0
27784,when will i receive payout,when will i receive the funds in my bank,0
9356,How will I get to know about cricket prize?,cricket prizes,0
44835,send me reminder to drink water,want reminder for exercise,0
42507,I want to book ticket,I want to book flight,1
19627,benefits of industrial lpg,Industry benefits,1
11743,last fund credidted to my account,I want to check last fund debited out of my account,0
72692,Didnt receive One time password,Why am I not receiving a pin number,0
18091,Send me a daily motivational quote,Motivation quotes,0
1389,Free Entry Contests,Please Free Entry,1
2155,I want to book a flight,Hi! I want to book a bus ticket.   .,0
23943,what is your phone number,what is your name,0
63098,Markets today,what are the news of stock market today?,0
26,Why am I getting error messages,login error message,0
60886,need uber,I want uber for 5th Nov at 9am,0
10341,cost of test,what is the test fee,1
28730,That was the right order ID,My order ID is right,0
52679,contract notes report,How do I open my Digital Contract Note?,0
60070,Coupon,Not received cashback,0
51993,Please inform me when flights rates go down,Alert me when prices goes down,0
23595,Not accomodating when I needed to cancel my ticket,Cancelling my ticket was simple,0
4344,I would like to cancel my Reminder,cancel this reminder,1
25984,i want offer on flight tickets,recommend Flight Tickets,0
2279,bike,racing bike,0
63731,Show me some offers on flights.,I want offers on train tickets,0
74516,need a gas,need gas supply,1
13951,"Hi, can you help me with the nearest book store?  .",Hi! Can you please help me set a reminder? .,0
54782,Is there any cashback,Is there any offer on train tickets,0
29414,I want to book a cab,"Hi, Can you book me a cab? .",0
47492,Yeah go ahead,yes go ahead,0
47147,pay maintenance charge before possession,Can the academy change before possession?,0
34855,I didnt get the ticket in email,send ticket on mail,1
56837,Cashback on trains,any cashback on trains,1
23956,Investor identity,Identity investor borrower,1
44929,From what date defect liability period starts?,documentation to cover defect liability period,0
37070,72 hours still not got cashback,didnt get,0
1814,Cash back not receive,Cashback Not Received,0
36237,How safe is your cylinder and as a Customer what I should be checking while receiving refills from your side ?,Want to refill from other franchisee,0
33723,fees,listing fees,0
28161,Took too long to change my ticket,Took me a long time,0
22704,schedule a reminder drink water,Can you schedule a reminder for exercise,0
49323,Childrens broken teeth,multiple broken teeth,0
33507,Need to know the Survival Benefits of saral nivesh plan,Want to know Survival Benefits of WAAC,0
10111,Is there any coupon code to reduce the fare of the flight,any cashback on flight tickets,0
31899,Can you help me link new savings bank account,link new savings bank account,1
10250,charge convenience fee,How much is convenience fee,0
35163,Get Daily Joke Updates,Stop sending jokes daily,0
56769,Can I sell/Transfer my Unit before Possesion?,Can builder mortgage my property before possesion,0
21105,Whats the offer,"Hey, what are some deals on food delivery around me?  .",0
4044,Hey I would like to play the Haptik Play & Win Quiz .,Haptik play & win quiz,1
20204,Book a flight from Mumbai to Delhi,Please proceed with below flight from Delhi to Bangalore for 1 adult onward flight air dep 00 00 1 dec dep 00 00 1 dec,0
29921,Number is right,That was the right ID only,0
2959,can you share key features with me?,Key Features,0
63773,Ur fare is higher,Your price is high in comparison with goibibo,0
41896,Yes ols proceed with offer code which you have,Is there any coupon code to reduce the fare of the flight,0
68965,i want to apply for vle,process to apply,0
50869,connect using email ID,what is your mail ID,0
10491,Please mail me the previously booked flight ticket,I would like to book a flight ticket,0
68568,I want to do complete diagnosis,It was supposed to be completed yesterday,0
67780,want ticket from mumbai to pune,I need a ticket,0
67767,send me ur pic,Give me your pic,1
33400,That's the right order ID,I gave the correct order ID,0
43171,near lab,Find the closest lab near me,1
55397,bank offer cashback not received,Bank offers,0
13360,Please book the cheapest cab,Please book the cheapest cab excluding share/pool,1
15249,Can I avail double cylinders for convenience ?,I want double cylinder connection,0
30671,Alert me when prices goes down,Remind me when fares drop,0
64541,Any updates on refund,Plz update on refund,1
6236,Explain the Total Secure plan,features for Total Secure Plan,0
44754,are you human?,human help,0
19733,any offer running on flight booking,For flights any offer is going on,0
38333,Too high,price is high,0
33747,How to use amazon pay?,unable to use amazon pay,1
25464,What could be the quantity of the leftover gas in Maxima Cylinders?,how much gas leftover in cylinder,0
31942,Are you computer,computer repair,0
11044,Any offer,Do u have any offer for flight,1
1807,Can you remind me to call someone,call someone,1
18227,Land line bill payment?,Landline bill payment is available?,1
54141,like to buy Flight Tickets,find Flight Tickets,0
8090,When will i get cashback,I did not get cashback,0
41794,calculate premium for saral nivesh,Need your help to know the Premium for Saral Nivesh,1
66094,free wi-fi hotspots,wi-fi hotspots,1
41498,Can we pay landline bill,Can I pay for Landline?,1
49141,Hi! I want to book a bus ticket.   .,bus,0
32330,any cashback on flight tickets,Do u have any offer for flight,1
14878,procedure to link aadhar to this account?,How to link my savings account to demat ?,0
47783,"Hyundai,SUV/MUV,Wheels and Tyres,Wheel Balancing,Normal,Pickup/Drop","Hyundai,SUV/MUV,Wheels and Tyres,Wheel Balancing,Normal,Doorstep",1
28228,I want bus tickets from,Can i book bus tickets using haptic,0
311,Good Morning [user.name]. I can help you plan your week ahead. Let's set up a To-Do list for you,"Afraid of the Monday Morning Blues, [user.name]? I can help you wake up on time tomorrow. Let's set a wake up call now?",0
21184,I have defence quota too so can you help me with the reduced rates,plz book in defence quota,0
44700,Cashback is not received,Still not received Amazon Cashback,0
388,emergency numbers,Share some emergency numbers,1
21522,Not a Indian resident,non resident indian,0
12634,No OTP,otp not receive,1
52355,I had a hard time making my payment,Hard to make payment for booking,0
19155,I am finding cheaper tickets on other websites,found cheaper fare elsewhere,0
45591,Extra car parking,car park plan,0
10580,I can't find my order ID.,Please help me find my order ID,0
998,I want to review all the Key features.,Key Features,0
10429,What's my flight status,flight status,1
46686,i am unable to connect,unable to pay,0
23569,cafe coffee day,Coffee day,1
16610,send my items,show items in my card,0
17855,is auto connect free,about auto connect,0
60926,Your price is not good,Your price is high in comparison with goibibo,0
65224,any offer on mobikwik,Any Discount on Cinema,0
11769,Your corporate structure,I need information about your corporate structure,1
21118,I want ur number,can you give me ur number,1
63964,any offer on flight booking,Any Offers on Cinema,0
15796,looking to Flight Tickets,like to buy Flight Tickets,0
24984,What is the frequency of SRV Testing in LPG Bulk Installation?,bulk lpg,0
65778,Send me flight timings from Mumbai to Delhi,I wanna look for flights,0
32741,I am not a Indian resident,I am a Non Indian Resident,0
23221,I am getting a error message when I log in,got error sms,0
34895,How much time it takes to credit in my account?,I want to take a gold loan,0
39919,Got my OTP,how to get otp,1
140,I don't have a lab ID,Check for another lab ID,0
70234,Give me pin number,Need the pin to enter,0
13541,I want a case study,best of case study about haptik chabot?,0
2219,I want to cancel my reminder,cancel this reminder,1
23139,i want to get my house painted,paint my house,1
28963,I want to play the quiz,remind me to play the haptik quiz,0
34429,Give me your number,Can I have your number,1
45588,want reminder for exercise,Can you schedule a reminder for jog,1
6439,I had trouble cancelling my ticket,Cancelling my ticket was very time intensive,0
78,Still not receive on my mail,Didnt receive mail yet,1
73428,is there any coupon for electricity bill payment,I want to pay electricity bill,0
10479,want to buy a phone,do i need to book an appoinment,0
13714,I need to book a flight,Please help me with booking flight tickets,0
39258,Process of addressing the warranty complaint,addressing warranty complaint,1
5728,want reminder for jog,reminder exercise,1
50743,I didn't get wining amount in my bank account,get winning money,0
3494,Hi Please help me with flight bookings .,Hi i want to book flight tickets .,0
22174,Thums up,Any scratch card offer going on thums up  charger can..?,0
46251,what is the expiry of cashback,Is Amazon cash back offer valid for dth,0
38236,I am looking to get my,I am looking to get some tests done,0
6781,like to purchase Flight Tickets,I need to book a flight,1
22097,I want discounts on ola tickets.,I want discounts on ola.,1
8505,How do I get my token number,track my grievance status for token number,0
61198,no,Didnt work,0
61488,I have board the cab but dont know the fare,No cab,0
23239,I want to book flight tickets for Guru Nank Jayanti,Book me a flight,0
18675,any offers currently available on flights,Are there any discount or cashback offers,0
22213,all available resorts,show me all available resorts,1
35091,help me with Educational loan,Educational Loan,1
41632,Will I get the same odour when leakage?,In case of loss of SV how to get the same again?,0
59933,Society be formed after possession,condominium be formed after possession,1
5364,17 kg cylinder,how can i get a 4kg cylinder,0
9338,Set a Wake up Alaram,"Hey, can you help me set a wake up alarm? .",1
3882,Is there offer for me in haptik,How to spend haptik cashback,0
4289,remind me to exercise,remind me to,0
41720,I would like to change my  medicine reminder,set reminder medicine,0
58808,Is there any cashback,Any Offers on Movie Ticket,0
69312,find me plumber nearby,looking for a plumber,1
62717,May I please know the Premium for Criticare,May I please know the Premium for GCAP,0
65947,I got no sim card,OTP not get,0
23279,What will be the Lead time to refill?,Want to refill from other franchisee,0
48395,remind to call,call to remind walk,0
47633,bank details,check bank details update status,0
5119,Wer to apply promocode,Hey I want to apply code .,0
68375,I got some app complaint,I have an app complaint,1
34953,Please mail me tickets,where is the ticket email,1
48438,lead,generate leads,0
26734,"no, I am not married",I am married,0
73400,not able to transfer funds to my account,transfer to bank account,0
7026,Please email the tickets,Please send boarding pass by mail also,1
53088,I want to know about refund status,I will let you know about my booking later,0
16569,This is the worst app,your app is so boring,1
23126,I want to book bus tickets for ID-E-MILAD,Hi! I want to book a bus ticket.   .,1
55369,I want discounts on flights,Tutorial for flights deals,0
16647,i want to know something about paytm,tell me about paytm,1
64309,I have some issues with login and registration,i am facing issues with login,0
52905,relatives children use voucher,Can my children use voucher if I am not residing?,0
26202,unable to login,not able to login,1
63953,Help me with Survival Benefits of GCAP,What will be the Survival Benefits of GCAP,1
75360,show  Flight Tickets,show me flights from mumbai to pune,0
56894,"Hey there, Can you help with booking flight tickets? . .","Hey there,I want to book a bus ticket.  .",0
25203,I want to edit my reminder,I want change my reminder,1
13026,I want to check flight bookings,want to buy Flight Tickets,0
15169,want to purchase Flight Tickets,I want to book a flight,1
57553,How Do i transfer my connection,want to transfer connection within same town,0
34093,check train status,check train pnr,0
39643,Send me flight timings from Mumbai to Bangalore,I just want to confirm whether my flight is on time or late,0
70244,Is there any cashback offer for electricity bill payment,Is there any landline payment offer?,0
10703,It was to cancel my ticket,Cancelling my ticket was simple,0
20307,I want to know the key features of Total Secure,Help me with the Premium for Total Secure,0
33191,New flight booking,want to purchase Flight Tickets,0
75641,cheap rate for mumbai to delhi,mumbai to pune,1
12486,prepare a reminder appointment,prepare a reminder,0
64452,Are there any discount or cashback offers,any coupon available on flights,0
43807,I needed to cancel my ticket and it took a long time,Took a long time to make changes to my booking,0
35038,Cash back not credited,Muje cash back nahi mila,0
34298,Hi Please help me with flight bookings .,Help me with flight booking,1
44274,what is my position on the gk leaderboard,show previous day  GK leaderboard,0
66289,I want to know the flight prices to Delhi,flights to Dubai,0
64002,"Hey, can you set a reminder for me to wish anniversary?  . .",set reminder,0
54638,want reminder for exercise,set reminder exercise,1
3015,Any promo codes for flight booking,Book a flight,0
39933,any discount on flight booking,any offer running on train,0
36999,I got cheaper price for this flight,I want to know the flight prices to Delhi,0
10252,Bsnl landline Bill pay?,bill pay,0
6001,I want to know fare for entire month,I want to know fares of flights,0
12196,What are the Survival benefits?,What will be the Survival Benefits of GCAP,0
36555,set reminder drink water,set a reminder walk,0
9137,Cashback is not received,my cashback,0
44202,Send me a daily motivational quote,Daily Motivational Quote,1
33198,survival benefit,Help me with Survival Benefits of GCAP,0
55865,carpentry,Book Service: Carpentry,0
13050,Key Features,I want to know key features of My life,0
16951,Offer best,offers,0
29694,That was a valid order ID,That order ID is correct,0
28670,I want to do a webcheckin,I want to do a web-checkin for my flight,1
31534,suggest Flight Tickets,show me flights from mumbai to pune,0
24741,I want the Premium amount for Criticare,How much will be the Premium amount for GCAP,0
15145,Pay to watch,save a list of movies and shows to watch later,0
66377,Please help me with booking flight tickets,I want to book a flight,0
26615,Its very slow,why is it still slow,0
33830,I need details about flights,I need to enquire Abt flights,0
31143,Can you check about the refund,What about the refund for PNR 08QI6D,0
17903,stop alert flight,Stop notifying with flight alerts,0
42458,Is minimum balance needed for payout,minimum balance requirement information,0
18035,todays ipl match results,Yesterday ipl match,0
57726,not getting verification mail,did not get my withdrawal money,0
9347,I want to book flight tickets for New Year,Want to book my seat,0
2578,Sxr to dehli air price,14 th feb morning flight to goa 7 adults 2 kids,0
69938,Please send your pic,can u give me ur number,0
38780,my horoscope,daily horoscope,0
48100,I didnt got my cashback,did not get my,1
3314,any cashback on flight booking,Any offer,1
57113,extra fees,why extra charge?,1
43995,commercial cylinder sizes,What are the sizes of cylinders in which you supply LPG?,0
20866,cost of,May I know the charges,0
11780,Mauritius Honeymoon Destinations,I'm interested in Exciting Mauritius Honeymoon Package for 5 Days,0
41809,How to use this app,I don't understand how to use it?,0
