pid,sentence1,sentence2
1780,Havent received the cashback,I did not receive mail yet
13293,No!,No number
60040,Is there any coupon code to reduce the fare of the flight,any offer on mobikwik
18764,Any offer,any offers on tests
3376,I want my favourite car,Hi! Please help me plan for my favourite car. .
4647,I want to change my reminder,I want change my reminder
72368,Show me some offers on ola.,ola offers
31713,How to connect to the internet using auto connect,can't use internet
57477,Help me with Survival benefits,Want to know Survival Benefits of saral nivesh plan
7614,give more words,Tell another word
73026,i want to go to bengluru,Hi I want to go out and dine. Can you recommend some good restaurants?  .
27282,set a reminder exercise,want reminder for exercise
22639,Give me your pic,Plz give your phone number
38804,plans,term plan
6647,I want to book flight tickets for Diwali,Please help me with booking flight tickets
24845,14 th feb morning flight to goa 7 adults 2 kids,Sxr to dehli air price
13469,can you help?,I need your help
27765,time of delivery what are the checks done by the delivery boys,Help me with the timings for delivery
26048,any offer on mobikwik,Is there any coupon code to reduce the fare of the flight
3866,I am finding cheaper tickets on other websites,Any cheap tickets
4053,Your Prices too high,Your price is high in comparison with paytm
1518,Get daily horoscope updates,Get Daily Joke Updates
164,suggest Flight Tickets,search flights
6263,cancel fare alert,set flight fare alert
73351,want Flight Tickets,Please help me with booking flight tickets
6575,live status train,check status train
1570,Key features of Total Secure,features for Total Secure Plan
9172,I want to book flight tickets.,suggest me Flight Tickets
63057,tell me about you,tell me about upcoming workshops and events
32092,please give my money back,Give me money
34576,available train tickets from vizag to Mumbai,Send me flight timings from Mumbai to Bangalore
75037,need extra baggage information,i need luggage information
5618,make it at,make a reminder
62559,remiand me about appointment,remiand me about
61868,I want to set alert for Train booking opening,"Hi, I want to set an alert to see cheapest fares ."
70720,book flight ticket,Book flight
34558,Facing issues while login using my Email ID,facing issues with the login page
22436,Help me with the Premium for Mylife,Need your help to know the Premium for mylife
4821,Visa,can you help with visa
17916,I need a call to remind me to drink water,remind me to exercise
34761,Suck u,Sex joke
53822,meals included for a customised holiday,airfare included in customised package
46909,Flight status,Pls send flight status
19907,I would like to book a flight ticket,domestic flights booking
41079,It cost too much to call you,No local number to call
227,I want to see your picture,Can I see your photo?
66564,Chimney General Cleaning,How much general cleaning costs for a 3bedroom hall and kitchen
113,how to join contest,Can I join a contest in the middle of the series
20240,Ready for Iced Chocolate,iced chocolate
37699,Cashback not yet received,Still not receive on my mail
16653,When will today's IPL Match begin?,Who won the IPL match yesterday
23764,I havent receive any password,password not received
3205,i need some time to book it,like to purchase Flight Tickets
47998,Still not getting connected.,OTP not get
13332,any cashback on flight tickets,provide me Flight Tickets
59442,postpaid,Airtel postpaid
41222,show for 2 adults,I need 2 tickets
3285,leaderboard,yesterday's leaderboard
14714,I gave the right order ID,I gave a true order ID
59829,any cashback on flight tickets,Tutorial for flights cashback
11856,i want offer on flight tickets,Any cashback on flights
45539,i need your number,Send your Number...
15367,Hehe,make me laugh
56847,cheap rate for mumbai to delhi,I wanna fly to hyderabad
60509,i want flat for rent,flat for rent
52815,tell me about discount deal on flight ticket,i want discount on flight booking
1472,what is my position on the cricket leaderboard,show previous day  cricket leaderboard
41119,Any other option,Other options
11181,I want to delete all old message,I would like to cancel my Word of the day subscription
63950,what is I don't withdraw my winnings,How to withdraw my winning cash
54905,how to add referral code,I want to use referral code
709,Daily Horoscope Modification,modification Daily Horoscope
38553,train arrive at station,Please remind me about today's arrival of train
41394,I havent receive any One time password,not receiving OTP
40023,domestic flights booking,I want to book flight
73840,"Hey, can you remind me to call someone?   . .",Can you schedule a reminder for calling someone
28964,I want to book bus tickets for Christmas,Any bus ticket available
2257,show me zero stop flights,cancel flight fare alert
5847,Will the samples be collected at home?,Home collection
52669,price of test,may i know the price of the test
20850,I want to book flight tickets for Christmas,Book a flight
21825,Hey can you tell me about the phonepe cash back .,any cash back on flights
34367,need details about a test,I need details about flights
54650,I m not receiving wake up call,Cashback not received
63877,show me another quote,Show another
36278,cricket winners list,Check  bollywood winners list
74550,carpentry,carpentry service
32866,I dont get my cashback,I didn't get my cash back
18896,Can I link multiple account to my trading account?,Unable to trade
990,please help me with my booking details,Please send my booking details.
7403,want to check report,i want to check in
27137,Hi can you help me to travel to kochi this friday .,Hi Please help me with flight bookings .
2608,benefits of inviting friends,invite friends programme
21402,How much cashback will i get,when will i get my cashback
76217,i want to check-in,Return tickets also to check-in
15779,set a reminder drink water,set reminder jog
465,All reminder cancel,remove reminder
76087,make a remainder exercise,make a remainder
42143,Train ticket booking,To book a train ticket
23378,I need invoice for my test,I want my invoice
72926,get otp,did not get OTP
14242,senior citizen quota,Senior citizen
7669,whats the eligibility criteria,Eligibility Criteria for tsp
37391,list my reminder,want reminder for wake up
240,Change Relationship Manager,Relationship Manager Details
13600,I have checked it. The ID given is correct.,I gave the correct order ID
41736,This is the correct order ID,I can't find my order ID.
63849,I didn't get my cash back,Cash back how much
39357,I need to book tickets,I want to book flight tickets for NH7 weekeender
33940,stop alert pnr status,pnr status train
23988,What is conveyance deed?,When does the Promoter have to do conveyance deed in favor of the association of allottees?
1614,Do you do home visit ?,visit for home collection
13072,How much is the charge?,cost
31105,Score,show latest score
38016,I would like cancel daily horoscope,"hey, can you give me daily horoscope updates ."
7840,cancel flight fare alert,Flights day to day fares alerts
14182,features of WAAC,Explain me the key features of WAAC
27027,show for 2nd july,I need 2 tickets
41260,Didnt receive password,received the password
72735,I want to cancel my flight trip,I want to cancel a train ticket
6032,i'm feelings stressed,I'm Feeling Harassed
47883,I have some queries,Train query
53318,want reminder for jog,set reminder exercise
21620,Blood test today,I want home pick up for blood tests
32795,you guys are charging convenience fees,How much is convenience fee
48725,Any discounts available for purchase of tickets,I want to book movie tickets and avail discounts
17678,Cash back not receive,My Cashback not received
70475,Convenience charges,convenience fee zero
12141,beauty service,book beauty service
37571,I have to change the bank from,The amount has been deducted from my bank account
48928,book me a flight,book flight tickets
29167,style hair,bride hair styling
32590,did not get cashback,I didn't get my cash back
31566,any cashback on flight tickets,what are offers on flight booking
8504,I don't have a lab ID,Bill reciept for lab id
26886,time taken to list a loan,Time taken for loan disbursal
8706,What is the Gross Calorific Value of LPG?,Gross Calorific Value
40497,prepare a reminder jog,set a reminder jog
9152,72 hours still not got cashback,Why i didnt got the cashback
44064,I still can't find my ID,Can't find order ID.
9101,I want to cancel my flight trip,stop my flight notifications
11247,Can you check flights,check Flight is on time
37221,give more words,Show more
71970,my account is closed so need to add new account,How do I link or add new savings bank account
74894,I wanna fly to hyderabad,book ticket from mumbai to pune
19726,"Hey, can you remind me to wish someone Happy Birthday? .","Hey, can you remind me to exercise?   ."
8252,what are offers on flight booking,Book a flight
1005,phonepe cashback not received,Cashback not receive
54069,I want my refund,Please refund me
41559,I have access,i can not access
63411,i want link for apple phone app,I want the link
44841,set a reminder anniversary,set reminder
17577,modification Birthday Reminder,I would like to modify my  Birthday reminder
6105,I need to cancel a reminder,Cancel reminder
45930,Any offers currently available on ola booking.,Are there any cashback offers
7106,Whats the offer,what is offer tell me
76113,This is the correct order ID,My order ID is right
15855,total secur,features for Total Secure Plan
35952,i want to book rail ticket,may i book a train ticket through this
55569,OTP not working,One time password not getting
49718,Any offers currently available on uber booking.,Unable to book uber
42402,Where is my gk prize?,check GK prize
8665,Please help me,What can you help me with?
41731,stop word of the day,Word of the day subscription
20923,schedule a reminder,schedule a reminder wake up
4946,why cant i connect?,still cant Connect
2327,still does not work,still not functional
53676,Modify this exercise reminder,exercise reminder
19158,want reminder for exercise,view my reminder
3179,Please search cab,"Hi, Can you send a cab at work? ."
33441,stop alert train live status,remove alert pnr status
8059,Assist me with the Key Features of GCAP,Key Features
7616,wanted to have advanced health check,Executive health check up
4533,Is there is no coupon code for this flight,Previously there is no convince fee from haptik right
3152,Blood test results of,What is my test result
70773,help me with nearest cafe,i need cyber cafe near me
10283,Roles in new movies,New movies in the making
42670,I'm getting a better price on paytm,I m getting better price at ixigo in 3053 rupees
3933,Want to know about the Company,What is the overall Customer Feedback/review about the company ?
62786,Help me with the timings for delivery,When do I get the cylinder if i am not home at time of delivery
9654,I want to pay the landline bill,Is it possible to pay Landline bills using this app?
4812,Airfare in customized holidays,Customized Holidays
56917,No i need to check fares for dec 23,And back to kochi on night 03 dec
6867,Problem in making payment,How do i make payment
24259,Will I be charged for calls?,feed me
65075,modify address,How to change my address
51838,72 hours still not got cashback,still not got amazon cashback
7817,What is the status of my order?,order status
6309,need flights from mumbai to pune,show flights on
44432,gk Today's leaderboard,bollywood Today's leaderboard
35944,total secure plus premium,eligibility criteria for total secure plus
41336,what more can you tell me about workshops,tell me about events
65236,I need to book a flight,I want to check flight bookings
8809,want to buy Flight Tickets,Price of flight tickets to Switzerland
21968,I don't need your help,I want your number plz
32758,Didn't get my pin,got pin
19335,I want to book flight tickets.,I want to book bus tickets
19858,any flight deals,i want offer on flight tickets
36610,looking for nearest cafe,search some cafe nearby
51335,Your price is high in comparison with goibibo,But your price is higher
38655,book gas connection,new gas connection
58773,Shall i order new connection digitally,new connection
56819,Will I get my deposit money back when surrendered?,Will I get my deposit refund?
58626,Check availability for,check availability of resorts
1579,Any offer on Electricity bill,electricity bill
6395,check under senior citizen quota,senior citizen quota
62427,reminder to call,I need a reminder to drink water
9179,How to pay landline bills,how to pay
29954,prepare a reminder jog,make a reminder exercise
74208,change address,Address change procedure
48050,Please advise report status,Want to know status of report
12841,login error,giving error while I login
56065,How to Install 'IIFLTT Software,Download IIFLTT Software
1465,Unable to login using email ID,what is your email id
3066,Cashback Not Received,Did not Receive Refund
20284,This is the correct order ID,That's the right order ID
60632,Can you call me,What are you called?
42234,supported channel,What channels are supported
74672,show for 2nd july,I need for 8 persons
60683,Still it is not getting connected,did not get password
32198,provide me Flight Tickets,show me flights without any stop
46465,Order ID is correct,That was the correct order ID
13007,delhi to kolkata,want mumbai to bangalore flights
74870,"Hey, can you find me the nearest place for vehicle repair?  .",suggest me closest place with wifi
1188,account already exists,I already have an account
26420,gk Leadership board,cricket Leadership board
42097,I have not received cashback,My cashback???
35255,view the cricket leaderboard,last cricket leaderboard
10614,What will be the premium for GCAP,what is the premium
47788,Please help me with flight booking,book flight
58809,I want to change my horoscope,I want to change my subscriptions
1716,Any cashback on flights,any deal
151,Can you share the Survival benefits?,Help me with Survival Benefits of saral nivesh
14455,want reminder for exercise,set a reminder exercise
54600,Sir confirmation message did not come till now,Cashback is not come in my wallet
9946,Didnt receive One time password,Received my OTP
3802,Book me a night ticket to Delhi tomorrow,Book a flight from Mumbai to Delhi
55737,i do not have access,no i can not access
6882,features of WAAC,WAAC
40976,mumbai to delhi shatabdi tickets,mumbai to delhi trin no plz
30551,show  Flight Tickets,What is the check-in baggage limit for the flight you suggested
6319,I not get Cash back,Didnt get cashback
31041,How can i change my address,address change
5052,What is Survival benefits?,Help me with Survival Benefits of GCAP
3684,I don't want to play,I want to play the daily quiz
36556,Use the cashback,How much cashback can I use per order
6132,where to spend mobikwik cb,Where to apply coupon code?
37582,Some awesome cashback offers on trains,Give me best offers on trains
50066,I want to know about the flight offers,Tutorial for flights cashback
25245,available train tickets from vizag to Mumbai,I want bus tickets from
16802,I gave the correct order ID,Can you help me find my order ID?
6009,create public contest,how to create public contest
61517,I want offers on ola tickets.,I want discounts on ola.
3555,This is the correct order ID,Can't find order ID.
43888,Total Secure,benefits of total secure
14389,both details are mandatory to login into the system,I am not able to login
5381,Are there any approved Contractors for ALDS installations?,Do you have any approved contractors?
18663,what are discounts available on flight booking,Book flights
65853,want the payout in new bank account as the exising is closed,How to pay with new bank
75430,I want receipt for this bill payment!!,Need receipts
50022,looking to Flight Tickets,want to purchase Flight Tickets
20261,Can give me details about my haptik cash back,Can i use haptik cash for flight booking
33541,tell me something about fairplay,i want to know something about paytm
74993,Want to know more about your Criticare+ policy,Can you tell me more about your products?
22042,no login page,login page
10603,12 KG LPG Cylinder,33 kg
21162,do not want wake-up reminders,dont want wake-up
20635,what are the important features of mylife,important features of mylife
4117,share all flights,show all flights
919,sir I am cashback not receive,Cashback not come
58955,i want a rail ticket,rail ticket
27965,IRCTC provides at 4046,But in other website it giving me 6133
40952,When will I get cadhback,When i get refund
25604,link paytm account,how to link paytm account?
43432,Why should I pay listing fees,Why pay a fee to invest own money
8694,how much is the premium for GCAP,calculate premium for gcap
42270,I want discounts on flights,tell me about discount deal on flight ticket
13114,"I've cleared my previous trip, please retry the cab booking.","Ive cleared my previous trip, please retry the cab booking."
16560,Please mail me the previously booked flight ticket,Book flights
38907,any offers on bus tickets,Can u book bus tickets
46259,I want your number,Please give your number
14724,Charting Status train,Railway status
32884,I want flight rate,show  Flight Tickets
3538,book ticket from mumbai to pune,Book me a night ticket to Delhi tomorrow
45541,Cancel it,Cancel flight booking
8940,royal enfield,Royal enfield 350
54286,preserve my tooth,Emergency Tooth preservation
23622,What if child cannot avail the seeding batch?,voucher will get wasted if child cannot attend batch
45848,How often does the state government issue a ready reckoner indicating market value of properties ?,Market value of property
4738,I want to know about personal loan information,I'm looking personal loan
22240,I can get your phone number,I want your mobile number
66911,I don't want notifications,I don't want anything
16265,I need your help,show your photo
12663,I want to retrieve a report but I don't remember the lab id,My report was not given to me
49364,I need to book a flight,i dont want to book right now
73349,I want to book flight tickets Can you help me,I want to book the seats
35687,Not get cashback,I didn't get my cash back
35421,I want to book round trip,I want to book flight tickets for Diwali
8306,gk prize announcement,prize announcement
21793,Already it is booked for home collection,Would like to know time of visit for home collection I have just booked
41009,1BR,What is a 2BR?
38966,What are the services,what services do you provide.
33965,set mpin,mpin
17831,I want to get a flight booked,domestic flights booking
28631,Can i get your number,Can I have your number
44301,I need to book tickets,I want to book zoomcar
46369,i can access,i do not have access
10273,what is the premium for Total Secure,calculate premium for total secure plus
52105,12kg LPG cylinder,33 kg
62440,Still not getting connected.,didnt get password
5016,Still not receive on my mail,I did not receive mail yet
7598,That was a valid order ID,That was the correct order ID
3536,looking for closest pharmacy,find nearby
4406,Do u have a lab near thiruvalla kerala,I need to know the nearest lab
30217,Coupon Code,Give me a coupon code
54976,Please help me,How can you help me?
30000,send me your photo,Send me your mobile number
34150,any offers currently available on flight tickets,I want to book flight tickets.
5937,any discount on flight booking,any cashback
4856,Book a flight from Mumbai to Delhi,And back to kochi on night 03 dec
12070,recommend Flight Tickets,looking to Flight Tickets
1381,show me zero stop flights,please cancel my flight alert
28345,delete reminder,I want to remove reminder
53203,Visit to the dentist,Symtoms to visit a dentist
60925,show me ur pic,i need your number
47794,Send my money back,Give me cash back
36079,stop flight fare alert,please cancel my flight alert
15668,In case of loss of SV how to get the same again?,In case of loss SV
12136,My test report,Test report card
46598,Any offer postpaid bill payment,unable to pay postpaid bill
69325,Cash back not come,Cash back when I will get
34511,I want to check price of this test,need to know the prices of some tests
70599,Delete wake up call,"Afraid of the Monday Morning Blues, [user.name]? I can help you wake up on time tomorrow. Let's set a wake up call now?"
1048,Show me more return flights,show more
47765,poor service,your services are worst
3981,Share promo code for flights.,How can I add coupon code in flights
68730,What are the important features of Total Secure,Help me with the Premium for Total Secure
16379,I need flight,looking for Flight Tickets
10813,find me painter nearby,i am looking for painter
487,Tell me more about LPG's environmental benefits,Tell me more about the cost
67580,Is there any coupons I can apply here,Is there any promo code which we can apply
3386,Still not working,not working
11321,Update Nominee details for CDSL Demat,How can I update nominee for CDSL account ?
19050,reminder for birthday,set reminder birthday
32787,mumbai to delhi trin no plz,check for mumbai to delhi
25359,stop horoscope,I would like to cancel my horoscope
65888,I want to buy high-end gadgets,I want to buy
26157,i want to check for trains,i want to check in
63168,Yesterday Horoscope,What's my horoscope for tomorrow
65278,I would like to know more about Term Insurance from Coverfox,I would like to know more about Life Insurance from Coverfox
5166,delete all reminders,view all reminders
10143,If anybody's doing wrong things with me whate should I do,If someone is doing wrong things to me
2042,please show me return flights from,Book a flight from Mumbai to Delhi
11706,test costing,may i know the cost of the test
3061,order status,Can I please check my order status?
63162,bus booking,I need bus booking
13241,cleaning at a dental office,Dental Cleaning
53539,How to enroll the nominee in CDSL,enroll the nominee to minor person
8591,want reminder for walk,i want reminder
63176,I want discounts on flights,I want discounts on train ticket
24553,72 hours still not got cashback,Still not refund
30790,Is there any offer,Any offers
999,any cashback on flight booking,any offers on buses
31858,How to apply,How to Open?
12770,my order,Pls cancel my order
918,How to connect free wifi with out  mobile number,i don't have a mobile number
30216,want to purchase Flight Tickets,find Flight Tickets
15284,i want to change my team,want to change paytm account
26965,how to log out,how to download this app
38885,What about vistara flight charges,i want indigo flights
19485,your app is so boring,worst app
17862,I can get your phone number,Give me your phone number
62235,need flight baggage details,want flight fare alert
33610,Need to book a train,I need to book a flight
13391,reminder jog,Can you schedule a reminder for jog
21935,How long will it take to deliver my order,How long will it take?
61303,i want to change my team,i want to change profile details
4877,I want to book as armed force category,I want to book ticket
4436,Have received Invalid One time password,The One time password is Invalid
15615,"Hey, can you set a reminder for me to walk?  .","Hey, can you remind me to walk?   ."
3094,looking Flight Tickets,I need flight
32642,sim is not active,I don't have an active India mobile number
2456,not working,No
51497,Send joke,Send joke everyday
4010,like to purchase Flight Tickets,suggest Flight Tickets
30079,show ur pic,i need your number
9277,May I please know the Premium for Saral Nivesh,how much is the premium for Saral Nivesh
2543,i want discount on flight tickets,like to buy Flight Tickets
71103,modify items in my cart,want to check items in my cart
38776,recommend Flight Tickets,I want to book flight tickets Can you help me
3496,Is Visa required for Dubai,Visa required
73500,why do i need a vice captain,why do i need a PAN card
6254,i don't have lab id,My lab ID is
39191,How do I generate Trading password online?,trading password online
21067,"I am travelling, how to find a dentist",Find a dentist near me
47447,how to log out,how to get cashback
10180,check price for flight from mumbai to pune,i want flights from mumbai to delhi
48907,winner announcement for gk,cricket winner announcement
62533,I want to modify the dates times,I want to change the departure date
9064,What are the key features of Saral Nivesh,Saral Nivesh
21169,rail way pnr status,Check flight pnr status
66284,Stamp Duty,Delay of Stamp Duty
66794,i need my refund,Please refund me
5367,Tata power mumbai,Tata Power
55621,Any cashback on flights,I want to know about the flight offers
19949,Make my trip is giving cheap flights,I can find low fares on other sites
32477,Email Id to send the proposal for organising events,Our mall would like to organise an event with you
53194,"Hi, I want a cab for an Outstation Trip .",Please search cab
13916,Please refund,Not refund
53828,Check flight rate,Check flight pnr status
20515,I want to book a flight,need to book an pickup
34796,Tips to describe grievances,How to describe grievance
13135,Explain the term plan,Can you please tell me about Term Plans?
9004,may i know the charge of the test,I wanted to understand the cost for test
18348,set reminder walk,set a reminder
292,72 hrs crossed,72 hrs have passed
58468,Get a joke daily,Stop sending jokes daily
48937,"Hey, can you set a reminder for me to exercise?  . .",schedule a reminder
42943,Do u have any promocode,Any cashback on flights
47523,Can we do broadband bill payment,Airtel broadband bill payment
14938,online payment or cash,payment in cash
74202,I need your help,Oh you are very helpful
16237,"I checked, the order ID given is correct",My ID is correct
61160,How to download your app,I am unable to see your app in Google Play
57808,call to remind jog,remind jog
25252,show me flights from mumbai to pune,Pls send flight status
49812,When I will get bollywood prize,bollywood prizes
6035,Forgot lab ID,I don't have lab ID
16773,Price of flight tickets to Switzerland,looking Flight Tickets
15872,I want to cancel my flight trip,Need to choose seats on my flight journey
8689,Please help me with booking flight tickets,looking Flight Tickets
38061,modification Reminder to Call,call to remind exercise
21388,remind me regarding jog,remind me regarding
26810,show another joke,Show me more
2846,I want to book flight,I want to book ticket
42978,I would like to stop updates for this match,Stop match updates
11199,Airfare included all time,Is airfare included in the Customized holidays price?
66302,I want to know deposit rates,Deposit rates
71681,What are offers for mobile bill payment,Bill payment
6596,total secure+,benefits of total secure
39355,app is hanging,It hangs
17028,I want to know the lab opening timings in morning,I Don't Know the Lab Id
13502,I want discounts on ola.,please suggest offer
44611,"Hey, can you help me with the nearest petrol pump?  .",petrol pump
5486,want reminder for drink water,schedule a reminder drink water
19224,Book a cab to work,I want to book a cab to travel later
63873,send me your photo,Send your Number...
56380,New information here,Information on new serials
63755,Book flights,wana book a flight
40229,Unable to book uber,want to purchase uber
33116,Procedure to order LPG supply,Do you supply LPG for industries?
26287,"I wish to nominate someone, can you tell me how?",Do I have to nominate anyone?
7073,I would like to modify my happy birthday! reminder for,I would like to modify my  Birthday reminder
31458,important features of total secure,calculate premium for total secure plus
7588,What about today ipl match,Yesterday ipl match who won
13779,when will cricket prizes be announced?,prize announcement
27325,allow autostart permission,why is auto-start permission needed
40508,visa related help,Visa
42386,Book me a cab,book cab for tomorrow
62616,72 hours already,24 hours still not got cashback
71965,New flight booking,I want to book flight tickets.
41537,Airline does not charge convenience fee,How much convenience fee
68940,total secure plus benefits,eligibility criteria for total secure plus
3935,I want to buy 1gb on my phone,how to purchase
12698,remove match updates,Get match updates
21783,Need to know the Survival Benefits,Survival Benefit of My Life
23803,Ideas to Trade,top ideas to trade
53012,Can you schedule a reminder for jog,prepare a reminder exercise
62416,Do u have any offer for flight,Are there any discount or cashback offers
29116,Are there any discount or cashback offers,any deal
18886,"Hey there,I want to book a bus ticket.  .",I want bus booking
1525,doesnt work,No
71889,I want to book a flight,I want to book flight tickets for New Year
72998,i dont remember token number,track my grievance status for token number
15660,size of the group tours,corporate tour group size
20378,Did not receive,Cash back not received Amazon pay
57268,make me remember anniversary,make me remember
56641,why extra charge on flight booking,I want to book flight
12935,charge convenience fee,you guys didn't charge convenience fees
26320,Where to make payment,Problem in making payment
33422,Who will win IPL this year?,Who won yesterday in Ipl match
17053,Can you schedule a reminder for jog,set a reminder
35037,My order ID is right,I gave the correct order ID
45511,advantages of a cart,cart
13917,to buy Flight Tickets,I want to book flight tickets for Guru Nank Jayanti
55666,Did not get my cashback,Not getting perfect right reply
2480,I cant find my lab ID,I want to know my lab ID
10378,Please tell me best domestic flight offer,Is there student concession flights
2140,I havent got the email yet,please email
35999,test cost,What will be charges for test
29112,I want to know fare for whole month,I want to know fare for entire month
25025,This is the correct order ID,I can't find my order ID
27356,Not able to sign up,I need assistance  as I am not able to register  for never mind offer
33776,check a flight on 23 october,book flight for 2 adults
7033,Tell me about my bookings,Tell me about my order
29130,any cash back on flights,cash back not credited
23067,I'm getting a better price on paytm,best fare from mumbai to pune
9708,Share some flights coupons.,Tutorial for flights coupons
9925,Tell me about Saral Nivesh plan,Give me information about Saral Nivesh
9125,Can core banking number be updated.,How can we update the core banking number.
8545,modify a reminder,wake up reminder modify
63379,Need to know the features of Total Secure plan,what is the premium for Total Secure
14926,How to get promocode,When will i get cashback
26626,show  Flight Tickets,like to purchase Flight Tickets
69002,"Hi, I want to book a flight ticket using the cashback offer . .",how to use cashback
2622,Need invoice of my air tickets,I wanted an invoice for the test done
3660,Want to change my Contact number.,what is your contact number
22030,How to check train schedule there is no option in such applicat,i want to check in
12975,I need 2 tickets,Per ticket 30 kgs
10490,Can u send me your number,I want your number
14645,did not get my,I didn't get my cash back
37005,Senior citizen loan,Senior citizen
2071,How to update my bank account,How to update the app
20494,survival benefit,Want to know Survival Benefits of saral nivesh plan
7862,Motivation quote,I would like to cancel my Daily motivational quote
30505,want to get my report but I dont have Lab id,I want to know my lab ID
23797,I am asking bus service is there or not ?,Uber not there
13499,my current location,My locations
6695,Show me some offers on flights.,Tutorial for flights discounts
51839,get insured,"Hey, can you help me get insurance ."
57358,I'm going to uninstall your app,I love your app!
53674,modification Drink Water,Remind me to drink water
17917,Suck u,Stupid joke
3878,Don't know the answers,i don't know my lab ID
60382,Send your pic,Please give me your pic
60137,I want to see the Detail of my policy,Want to see the product list
71188,cost to convert HSD to LPG,Fuel converted to LPG
58623,why is my EMI not deducted,my EMI is not deducted
73473,I want to report an issue,I need to raise a compaint
12940,issues post a Root Canal?,root canal steps
43226,I am unable to see any plans on the page.,Unable to see any OTP
6708,show my rank in bollywood,show my current rank in bollywood
11941,Issue with login,I have an issue
1705,send ticket on mail,I want ticket booking
36246,prepare a reminder anniversary,want reminder for anniversary
46716,can I use same otp on another device,one more SMS
67735,Kindly provide clarity on the Legal aspects of the <Project name>,Kindly provide the name of the land owners for <project name>
34798,Amazon Pay cashback,amazon pay balance
39438,I want to book flight tickets for ID-E-MILAD,Book flights
30746,contact me,what is contact number
333,I want to know interest rates,Interest Rates
65964,full home health check,full home deep cleaning
4008,Give me your mobile number,your phone number
11326,I want to check flight bookings,want to purchase Flight Tickets
59450,I want to apply for home loans online,I want to apply refinance loan
37971,sores in the mouth,Mouth sores care at home
31196,I want to pay my electricity bill,I want to pay my utility bill
6050,wake up reminder modification,Change wake up call
16548,No cashback is yet credited,My Cashback not received
48576,I need invoice for my test,Give me invoices
9962,When will i get cashback,I havent get cashback
29265,looking Flight Tickets,Send me flight timings from Mumbai to Delhi
69452,I want to know about the flight offers,I want to know about UDF refund
58403,My cashback is not coming,Cashback not receive
38000,Something is wrong with your app,Where can I get your app?
71383,What features does my life has,What features does WAAC has
5876,can I get additional vouchers for buying more apartment?,buy more vouchers
43841,hw to connect,how to connect with wifi
69328,Still can't find ID,I still can't find it
58611,Stamp Duty,Stamp Duty for gift
22568,check a flight on 23 october,Check flight status
75759,Landline bill,How to pay landline bills
57818,I got no sim card,Still it is not getting connected
66742,Procedure to order LPG supply,what is the procedure to get bigger cylinder
44797,flight tickets from mumbai to delhi,14 th feb morning flight to goa 7 adults 2 kids
16511,Difficult to use,annoying to use
40795,connection within the same Franchisee's area of operation,want to transfer connection within same town
