Text,Summary
"These things are low cal oreo's: minus the creme, minus the cookie! The title ""oreo"" is basically a total misnomer. These are nothing but black crackers with some sugar. If that is what you want, then click purchase.",these ain't oreo's
"We have five cats - one an elderly cat of 15 years, the other four in the 9-11 year range.  The oldest cat was diagnosed a couple of months ago with the beginning stages of chronic kidney disease.  His numbers didn't warrant being on prescription food yet, but we needed to start paying attention to things like protein and phosphorus levels in his food.  Because we have five cats, and some of them are nibblers eating four or five nuggets at a time, we decided to switch them all to an acceptable food for the oldest, so we picked the active longevity because it specifically mentioned kidney support and calories appropriate for less active older cats.<br /><br />Since we made the switch 6 weeks ago, all of the cats have gained weight.  This was fine for the little old guy as he was a bit underweight; not good for the rest of them.  Our other male went from a slightly chunky 18.5 lbs to an obese 21.25 lbs - almost three pounds in 6 weeks!  The 3 females gained between 1.5 to 2 pounds each.  We noticed them making a lot more visits to the food bowl, like they couldn't seem to get full.  We also saw a lessening of coat quality - lots of shedding even though they are brushed regularly (including with a furminator) and one developed bad dandruff.  The stools developed a really bad odor, although I do have to say nobody developed diarrhea which I am grateful for.  Most worrisome was that the lab results on the old guy came back with some of the kidney values of concern having worsened.<br /><br />I am very disgusted with Science Diet - they are actively fooling the public with the nutritional claims on the bags. One of the sites I researched on for chronic renal failure has charts detailing the nutritional breakdown of most of the various foods available.  If you compare the various Science diet formulae that have different health claims on them - the nutritional values for the components listed are all within a tenth of a point or two.  Basically from the nutritional analysis it appears that they are  the same base formula with maybe a slight difference in a vitamin or additive.  With other brands, such as innova or royal canin, there appears to be an actual difference between the different formulae.<br /><br />Now to deal with the weight gain, as well as the other problems we noted, we are switching foods again.  This time we are trying royal canin indoor mature.  Wish us luck.",Kitty Junk Food
"I made the mistake of believing that Science Diet was the best choice for my cat after the woman at the animal shelter mentioned it as the food they use. After doing some research I realized that Science Diet is no better than any grocery store generic brand or Iams (I would NOT recommend ANY of these options).<br /><br />The main ingredients are Chicken By-Product and Corn. Here are some interesting facts: Cat's can't digest corn...in fact, they are obligatory carnivores and only eat up until the point of reaching optimal nutrition. When I fed my cat the science diet he ate ALL THE TIME, constantly. After switching him over to Castor and Pollux Indoor Cat Formula he eats much less now.<br /><br />Also, By-Product means just that...beaks, feathers, toe-nail clippings, meat not suitable for human consumption, dead animals, etc. -- Totally not worth the $$$ ...it's cheaper just to dig in the trash and puree it yourself (doesn't sound so appealing does it??). Science Diet is notorious for implying superior quality products when they are in fact no better than all the other terrible pet food you find. Don't let your vet fool you either- vets usually get a 40% cut from Hill's to sell you their cat food.<br /><br />My recommendation is to use common sense and to do some research. Try brands like Newmans Own or Castor and Pollux as they have wholesome ingredients and a proven track record.<br /><br />I later called the shelter only to hear that they are required to feed the animals Science Diet as it is donated and they have a special arrangement with Petsmart to house their animals in their in store adoption centers. A requirement is to exclusively feed Science Diet to the animals.<br /><br />TRY THIS INSTEAD: <a href=""http://www.amazon.com/gp/product/B001BCUBZ0"">Castor & Pollux Ultramix Indoor Feline Fomula Dry Cat Food, 15-Pound Bag</a>",All By-Product & Corn -- Don't Waste Your Money!
I did not know anything about chutney until I went on a known recipe cite and found out that they mix the fruit with peppers and vinegar! I thought chutney was a different form of Marmalade but I was wrong!,Not happy with the product!
"We purchased this product and were greatly disappointed.  The product did not have the texture or the taste that it should have.  We contacted customer service and when they discovered that we were complaining, they suddenly could not understand us and said customer service would contact us.  We never got a call back and could not get in touch with them again.  Very expensive and no quality.  Stay away from this company.  We lived in Spain for years and know what this product should taste like and this was not what it should have tasted like.",Stay away from this company
"So if you are a person who likes swiss miss / hot cocoa packets or hot cocoa from a gas station SO DO NOT GET THIS PRODUCT!  I can not taste any chocolate flavor in it whatsoever.  It just tastes like heated sugar water and nasty sugar water at that.  This product has a strong fake sugar taste and I am perfectly OK with diet sodas and other fake sugar products.  There is something about this I just can not put a finger on it but it made my stomach curl.  I even waited for it to cool down, but it got worse.  Very disapointed in this product and it was not what I was expecting at all.",Ugh so not what I was expecting >.&lt;
"When I got my Keurig I fell in love. I bought a bunch of different sample packs and two boxes of the grove square hot cocoa. I'm a bit of a hot cocoa nut, partially because I can't have caffeine, and partially because it brings back wonderful memories of playing in the snow and the fun of warming up afterwards. I really wanted to love this hot cocoa. I tried all three flavors multiple times, in different ways. I tried them on the different cup sizes, adding things, etc. There's just this strange taste to them that doesn't sit well on the tongue. I'm not sure what it is, but it has a faint ring of sour milk. It really lingers, and I haven't found anything that takes the taste away. I'm going to give my second box to a friend, she doesn't seem to notice it. My daughter and husband both said it tasted weird, so it's not just me. I also took it to a friend's house and have tried them in three different Keurig machines, JUST to make sure mine didn't need to be descaled. So I guess my suggestion is to try it before you go for the multiple boxes.","Not bad, but not good either"
"This has to be without a doubt the WORST tasting Hot Chocolate ever! The best way to describe the taste of ""This Stuff"" is really cheap suger free instant hot chocolate. Swiss Miss instant is way better and cost less. After only 3 cups threw the rest in the garbage where it belongs and canceled my subscribe and save for this ""SLOP""!",Worst Hot chocolate ever!
"I've been excitedly trying every type of K cup I can get my hands on since I got my Keurig for christmas and, until now, have not encountered any that I truly hate. Until I discovered this one. I would have though it pretty difficult to ruin hot chocolate but the people at Grove Square certainly did a good job. Not only was the hot chocolate watery, but it had a horrible plastic aftertaste also. Yuck!","Mmmmm,plastic"
"Nice price, and glad to see a subscribe & save option on k-cups. However this was undrinkable in our opinion. Didn't seem to be too watery like another reviewer said, just a bad off taste.","Good Price, Bad Taste"
"The box has only pasta and dried-up sauce. No TUNA!!!<br /><br />If you can see the words in the spoon on the bottom right of the box, it says, ""Just add tuna"".<br /><br />So the products is making a FALSE CLAIM !!! Shame on you, Annie.",NO TUNA!! FALSE CLAIM !!
"This product comes from a very good company that makes a number of excellent Gluten free as well as non-gluten free baking products. DO NOT let the poor quality of this one product keep you from trying other products they make. This mix is a classic example of a very poorly designed and likely untested Gluten free product. It lacks enough sugar and moisture ingredients to make the finished product taste good and mix well. As with many Gluten Free products new to the market, you find yourself constantly adding ""something"" to try to make it right. To these, I had to add nearly a full cup of sugar to begin to dissipate the very bitter taste. I added both applesauce and plain yogurt during different baking sessions to get a consistency that would feel and move like a muffin mix. THIS mix takes too much ""Doctoring"" to be recommended at all until Hodgson Mill goes back to the drawing board and fixes this. BUT, Hodgson Mill does have other good products. Try their Blueberry Muffin Mix and hope that one day Amazon will carry a wider array of their Gluten Free offerings as many are very, very good.",Poor Food Design!!!
"I bought this because I have celiac disease and was really craving some muffins.  I am not a health nut, I just can't eat gluten.  With that said, this is nasty.  It calls for very little sugar, I figure for the health nuts, so I simply added more sugar since it said to sweeten to taste.  Even with extra sugar, it leaves an extremely bitter taste in your mouth.  I would rather pass on muffins than ever taste something like this again.  On a positive note, the muffins do stay together and look like muffins and if you try the product and dislike it, you can mail in the bottom of the box and your purchase price for a refund.",Simply Nasty
"I bought these graham sticks based on their excellent reviews and having purchased Earth's Best organic vanilla cookies, had high hopes for a healthy snack to serve my kids.  Needless to say, I should have purchased one box at the grocery store first before committing to 6 boxes through Amazon (which you are unable to return -even unopened boxes- since this is a food item).  The crackers smelled strange even before tasting them.  My 5 year old turned up her nose and refused to eat them anymore after trying a few.  I wish I could describe the taste, but it would be really hard.  It may sound strange for an organic food, but it was almost like a faint chemical smell.  At best, I can say that they weren't anything like a regular graham cracker flavor (even as an organic option they should have a better taste).  My 2 year old did eat some of them without complaint, so I am hoping she will tolerate them through 6 boxes so I feel like I did not waste my money.  Good price, but definitely test one box first to see if you like them.",Taste and smell were intolerable.
"These cups are artifically sweetened with sucralose - I didn't realize until I tried one, and ended up with a little bit of a headache, which made me check the ingredient list - it isn't noted on the front of the box.  They definitely have an artificial taste, I would not buy them again.",Artificial taste
While I gave it the benefit of the doubt confirmation was ascertained on the second bite that it tastes like vomit.,Among the Worst Candy Ever Produced
tastes pretty crappy. it's like raw cookies.<br /><br />it's not even like a cookie. it's a squishy thing in a cookie shape,EHKKKKKKKKKKKKKKK
"Overall I was not happy with the crumbiness of these cookies. They were way to fragile and crumby. There is just too many crumbs in my bed, how am I supposed to sleep like this?",Do not eat these cookies in bed!
"It works reasonably well with condenser microphones.  With dynamics the hum exceeds the signal.  Works with Windows, not with Linux.  The build is very cheap.  Anything more than $5 for this is too much.",leave this one on the shelf
"I actually was delighted to find this product, and my family and I loved the recipes made with it.  However it has sugar as the 2nd ingredient AND worse it has aluminum in it.  Why would I intentionally feed my family something neuro-toxic when I am trying to avoid gluten to keep healthy?  I sure wish those companies who jump on the GF bandwagon would keep health in the equation.  My kids bowel movements are gluten free too, but I wouldn't serve it to them for breakfast.  Just sayin...",A disappointment...
"Four of the eleven glass vials arrived broken. The product is apparently not able to be returned, so I just wasted 55 dollars.",4 of 11 Vials arrived broken
I can't believe I wasted almost $20 on this. They were burned! They were inedible! It was so nasty and they took forever to arrive!<br />You should take this product off of your product list. Worst product i've ever ordered,Disgusting! Waste of Money!
"I also bought two of these as gifts, and will be returning them for the same reason as some of the others.  Unacceptable packaging!  Unless you have already tried the product, there is nothing about this that makes you want to try it.  I assumed (big mistake!) that there would be some kind of packaging, but there was not.  This is really sad too, because the product is great.",Disappointed
"The Ener-G Foods English muffins look good in the packaging, but something in them makes them mushy on the bottom.  This presents a gooy feel in the mouth, and both my husband and I got stomach aches.  Won't be buying this again.",Mushy English Muffins
"Chicken Meal<br />NOT legally allowed in human food<br /><br />Subject to only the less-stringent animal food safety standards<br />May contain ""4-D"" chicken products:<br />* Diseased chickens<br />* Chickens that were Dying prior to butchering<br />* Chickens that were Dead prior to butchering<br />* Disabled chickens (may carry more infections)<br />Rendered<br />May contain waste products<br />* Restaurant waste<br />* Meat processing facility waste<br />* Packinghouse waste<br />Not subject to testing for quality standards or nutrient levels, may vary widely from batch to batch",...About Chicken Meal...
The chicken is not organic. It is the MAIN ingredient. This is NOT organic dog food. It is marketing lies to fool you into thinking you are paying more for quality ingredients when you are not getting organic chicken.,NOT organic
You can get these SOOOOOOOOOOOOO much cheaper at wholesale clubs.<br /><br />I get the 24/20oz(yes 20oz!) for $11 or $12!! Its actually even cheaper then buying the bottles from the regular store!,The other reviewer is totally right!!!
"I have ordered numerous teas, potions, lotions and other remedies...BUT have never had a lack of product in an order that was sealed.  The tea bag wrapping in question was sealed without a tea bag inside.  I would have said something sooner, however...I only tried these when I had a sinus infection and the last 3 times I tried to use one...the sealed pouch was EMPTY.  BEWARE!",I had 3 EMPTY tea bags...BEWARE!
I bought this brand and it was just horrible. Amazon needs to source and offer 3 Ladies brand wrappers as they are just superior to anything out on the market today.,Amazon: please offer 3 ladies brand rice paper
My baby loves this food.  At whole foods they sell the same flat for 10.99 and thats retail.  I ordered this and just received it today.  I hadn't even opened package and I could smell a rotten smell coming from box. I opened it to find jar smashed and mold everywhere! I'm so disgusted and can't believe I waited over a week for this to arrive.  What a waste of my time.  The worst part is I ordered the fruit flat as well and also a broken jar and rotten mold everywhere.  I don't get how this happens the  shipping box isn't dented or damaged neither is the flat box.  So what someone packaged and sent a smashed and rotting shipment? Not a happy customer!,Waste of time.
There is BPA in the lids and company claims it doesn't touch the food so it's okey. Why do they even write ORGANIC 6 times around the lid? Not honest to their costumer. I wouldn't even give 1 star if l could.,Organic with BPA
"I have a 6.5 month old who eats #2 food all of the time. I bought this variety pack and noticed that the peach oatmeal is thick like a paste. Coincidentally, as I was thinking that as I was feeding him he started choking and gasping for air.  He couldn't breathe and I had to give him the heimlich maneuver and luckily he started crying.  VERY SCARY and those jars went right in the garbage.",6.5 month old choked on Peach oatmeal
I believe gerber may have mixed apricots with the peaches. It now has a sour after taste and my son hates it.,Does not taste like peaches anymore
I've read the reviews and I agree that Yuban is absolutely the best coffee but at $100 for 12 cans comes to over $8 a can.  That's $3 more a can than I pay at my local store.  I don't understand the high price?,Cost is way too hight
This was not good. The flavor was lacking and barely came through unlike the Hint water -- which I really enjoy. I wanted this to be good and was so excited to get it but it just disappointed.,Not as good as Hint Water
"Earth's Best is supposed to be one of the best baby foods, but apparently my son does not have a palate for their food.  Maybe he did not like the texture of this stuff (it looks gritty).  He normally eats anything but was very sluggish with this food...turning his head after a couple of bites.","Does not look appetizing, and baby would not eat it."
It was bad before we open them. I saw them when we got. I did open. It had some spot green color. I did not know what it was. I was very upset. Do not buy this product.,It gone bad before we open
I am big coffee lover.  This was some of the worst coffee I have ever had.  It smells wonderful but the taste is horrible.  I would not recommend purchasing this coffee at all.,Alison
"Talk about horrible . . .<br />I was craving carrot juice and the store was out of the brand I normally like which has what I like for ingredients: Carrot Juice.<br /><br />I did see before buying that it said it had Organic Lemon Juice in it when I looked at the ingredients but I figured that the makers would only add it if it didn't change the taste that much.  Well all I have to say is I taste no semblance of carrots at all.  It tasted more like drinking a bad V-8 or something.  Then after sipping a couple of ounces I now have an acid reflux feeling in my throat and chest.  I drink water with lemon pretty often and never have that happen.  So now I'm wondering exactly how much lemon juice is in here.<br /><br />If you want carrot juice this is NOT for you.  I don't even think they should call it that . . .<br /><br />I don't normally do it, but I am seriously considering taking this back to the supermarket.  I also think I should write a letter to the company because it is just that ridiculously bad.",Carrot Juice???? Really????
"I bought this molasses at a local grocery store and nowhere on the bottle does it state that it is, 'unsulphered'. I called the company and talked to a sales rep in which he stated that it was not unsulphered. Although it does have a higher percentage of iron, I'm going back to Plantation.",Not unsulphered
I thought the whole figs would be softer for spreading but they are not. You have figs laying in a very sweet syrup. I've only tried it on toast one time and it was way to sweet to eat. The figs just lay on top unspreadable. I would not buy again. Save your money.,Too Sweet
"I'm really disappointed with the changes in quality -- it's not even the same product that we used to love.  A couple of years ago, the product was consistently fantastic, but now the taste, quality of the meat, and freshness are hit or miss...and recently it's all been a miss.",Not what it used to be.
Wow. The hickory smoked jerkey sticks were incredibly salty. I could not even eat half of the stick. I have had 3 different people try them and they had the same problem. They are so terrible it tastes like you are dumping salt into your mouth. Avoid these at all costs.,Hickory Smoked Way Too Salty!
"I buy Jack Links Peppered Jerky every month.  I tried these as this was the first time seeing them.  Don't waste your money.  They are so tough even the kids wouldnt eat them!!  They do not taste anything like the other ""Peppered"" jerkys.  Stick with the 1 oz or the 2 oz sticks they are moist and not so much grizzle.",Don't waste your money
"I've eaten Claxton Farms fruit cakes for over 40 years and love them.  I thought I'd be smart and order 5 one pound cakes at once as I know I'd use them.  This time the quality control went out of town.  Lousy.  Absolutely disappointing.  Of the 5 loaves, one was good,  Two were so dry they crumbled rather than be cut and I ended up adding them to cake batter in cupcakes or put on ice cream as topping,  totally unable to slice.<br /><br />the last two loaves just the opposite, they were runny.  When taken out of the wrapper they just flopped over, again, had to use as ice cream topping or put into cake batter for cupcakes.<br /><br />Claxton Farm might have sold out or fired the Quality Controller.  Awful quality after all these years.  Do NOT order from Claxton as you don't know what you'll get.  They lost a long time customer with me.",What happened to Claxton Farms Quality???
"I bought this thing after a recommendation from a pet store rep. My dog hardly touched the stuff, and then I looked at the ingredients: one of the first things on it was corn-a grain known to cause allergies in dogs. As a matter of fact, corn might be the most allergy-prone food amongst dogs. Not to mention, thanks to our friends at Monsanto, it is almost always Genetically modified (GMO) or a franken-food, unless it's organic. Real ""premium"" dog foods brag that they've no corn.<br /><br />Right at the top of the list of ingredients is chicken-by-products, another no-no among real ""premium"" dog foods. This means all the waste that it is usually thrown out from the chicken since it's not real meat. Cheap dog foods put this in their food simply because it's cheap, but it's not real meat. A little further down you will notice BHA, an artificial preservative, which again real ""premium"" dog foods do not have.<br /><br />In short, BilJac is a joke. It is basically, insanely overpriced Alpo, with no organic ingredients whatsoever, and uses all the shortcuts, filler, and chemistry that the cheapest dog foods on the market use. Don't be fooled by the old-fashioned appeal of the company's 60 years in business. There is nothing but modern chemistry in the bag, and all the folksy appeal will not make up for cheap, lousy ingredients. Calling this stuff premium dog food would be like calling a Kia a Mercedes. For nearly the same price as this overpriced Alpo, one could buy organic dog food, free of preservatives, corn, and cheap by-products!",A Big Ripoff!
I was disappointed in the unpleasant flavor and dry texture of Nana's Chocolate Munch Cookie Bars. To me there was an odd artificial almost chemical like after taste in them that cocoa powder can't even cover up. I threw away the entire box after tasting the first bar.,I threw them away
"After eating this product, I had a stomach ache followed by hours on the toilet. Those of you with a gluten intolerance and Celiac disease know exactly what those symptoms mean... somehow this product is contaminated with gluten! It is NOT gluten free! Please spare yourself the pain and suffering. These cookies are not worth it.<br /><br />For those of you who are tempted to continue eating this product even after you have been informed that it is not gluten free, please keep these facts in mind:<br />1. If you eat gluten, it damages your intestinal lining.<br />2. If you keep on eating gluten the damage to your intestines will get worse and so will your symptoms.<br />3. If you further continue to eat gluten you will end up in malabsorption, increase your risk for intestinal cancer, and lead to all sorts of problems including infertility, autoimmune disorders, oteoporosis.<br />In other words, cheating on your diet is not worth it!<br />Don't eat Nana's products!<br /><br />Instead, I suggest you buy something like Pamela's chunky chocolate cookies. They are one of my favorites.",NOT GLUTEN FREE!
"I'm sorry to hear about the difficulty in finding the details about the Hill's Science Diet Savory Chicken Entr&eacute;e Adult Cat Canned Food on our website.<br /><br />I checked our website and found that the item Hill's Science Diet Savory Chicken Entr&eacute;e Adult Cat Canned Food is currently only offered by the third party sellers on our website.<br /><br />Amazon Merchants and Marketplace sellers are independent, third-party sellers who offer a variety of new and used merchandise through Amazon.com. When buying from a third party, your order is fulfilled directly by the merchant. As a result, Amazon Merchants set their own shipping terms. In general, these charges reflect the handling costs for assembling and packaging each order, as well as shipping costs.<br /><br />Products listed for sale by Amazon Merchant should be identical to the new items sold by Amazon.com, with any differences noted in the description of the item's condition.<br /><br />When you shop with an Amazon Merchant their merchant's shipping terms will apply to your purchase. Rates, restrictions, and methods vary from merchant to merchant and are not set by Amazon.com. For instance, while some merchants will ship to international destinations, others do not.<br /><br />You can always view details of a merchant's rates and policies from the product detail page of an item you're interested in buying, and from the order form before you submit your order.<br /><br />As Amazon.com doesn't handle the shipping of Amazon Merchant items, you'll need to contact the specific Merchant with any questions you may have before ordering. They'll be happy to help answer your questions.",How many cans do you get?
the product was hard as a rock. i could not even break it in half. both dogs had hard time chewing them. puppy could not either will not get product again. unless the two packages i got were old and dried out.,bad review
